Full,Player,Position,Team,W,L,ERA,GP,GS,IP,H,BB,SO,SV,HLD,ER
Gerrit Cole SP  NYY,Gerrit Cole ,SP,NYY,13,6,2.85,31,31,196,151,49,215,0,0,62.06666667
Justin Verlander SP  HOU,Justin Verlander ,SP,HOU,18,6,2.11,30,30,179,152,50,171,0,0,41.96555556
Zack Wheeler SP  PHI,Zack Wheeler ,SP,PHI,14,6,3.56,30,30,182,162,39,194,0,0,71.99111111
Luis Castillo SP  SEA,Luis Castillo ,SP,SEA,16,7,3.46,30,30,182,160,49,194,0,0,69.96888889
Spencer Strider SP  ATL,Spencer Strider ,SP,ATL,16,7,3.81,30,30,170,144,54,247,0,0,71.96666667
Logan Webb SP  SF,Logan Webb ,SP, SF,13,9,3.39,30,30,194,179,43,171,0,0,73.07333333
Framber Valdez SP  HOU,Framber Valdez ,SP,HOU,15,7,3.18,29,29,181,155,58,178,0,0,63.95333333
Kevin Gausman SP  TOR,Kevin Gausman ,SP,TOR,12,8,3.1,30,30,177,157,44,213,0,0,60.96666667
Blake Snell SP  SD,Blake Snell ,SP, SD,14,9,2.5,31,31,173,115,85,217,0,2,48.05555556
Yu Darvish SP  SD,Yu Darvish ,SP, SD,15,8,3.42,30,30,184,163,51,183,0,0,69.92
Zac Gallen SP  ARI,Zac Gallen ,SP,ARI,13,7,3.33,29,29,181,158,46,177,0,0,66.97
Shane Bieber SP  CLE,Shane Bieber ,SP,CLE,11,7,3.29,30,30,189,174,47,169,0,0,69.09
Max Fried SP  ATL,Max Fried ,SP,ATL,14,5,3.12,30,30,173,164,45,165,0,0,59.97333333
Nathan Eovaldi SP  TEX,Nathan Eovaldi ,SP,TEX,14,5,3.2,30,30,177,154,54,165,0,0,62.93333333
Yoshinobu Yamamoto SP  LAD,Yoshinobu Yamamoto ,SP,LAD,13,6,3.55,30,30,175,152,60,203,0,0,69.02777778
Joe Musgrove SP  SD,Joe Musgrove ,SP, SD,13,7,3.15,30,30,177,162,48,174,0,0,61.95
Corbin Burnes SP  BAL,Corbin Burnes ,SP,BAL,10,7,3.17,30,30,179,158,46,186,0,0,63.04777778
Merrill Kelly SP  ARI,Merrill Kelly ,SP,ARI,13,7,3.31,29,29,177,155,55,171,0,0,65.09666667
Tyler Glasnow SP  LAD,Tyler Glasnow ,SP,LAD,18,6,4.06,30,30,164,159,54,210,0,0,73.98222222
