#,Player,Team,G,1B,2B,3B,HR,R,RBI,BB,SO
1,Ronald Acuna,ATL,150,114,34,3,38,135,100,79,108
2,Juan Soto,NYY,150,84,27,1,38,117,104,131,109
3,Aaron Judge,NYY,150,80,23,1,46,111,114,103,179
4,Mookie Betts,LAD,150,95,36,2,33,116,89,82,111
5,Adley Rutschman,BAL,141,93,32,1,20,90,73,84,99
6,Yordan Alvarez,HOU,141,84,32,2,39,101,113,80,123
7,Julio Rodriguez,SEA,150,101,35,3,33,103,95,52,154
8,Fernando Tatis ,SDP,150,93,34,1,36,99,104,63,144
9,Jose Ramirez,CLE,150,96,36,4,28,94,97,73,82
10,Gunnar Henderson,BAL,143,85,29,6,27,93,79,66,152
11,Corey Seager,TEX,134,92,34,1,30,95,89,59,98
12,Bobby Witt ,KCR,150,102,32,8,31,102,94,43,117
13,Kyle Tucker,HOU,150,90,33,3,32,96,103,70,95
14,Rafael Devers,BOS,150,94,38,1,36,104,103,64,128
15,Corbin Carroll,ARI,150,96,32,8,26,104,83,64,139
16,Alex Bregman,HOU,150,94,31,2,24,97,86,84,85
17,Freddie Freeman,LAD,150,109,38,2,26,108,93,77,113
18,Matt Olson,ATL,150,79,27,2,41,103,112,87,148
19,William Contreras,MIL,141,94,31,1,24,86,80,63,139
20,Yandy Diaz,TBR,146,112,34,1,21,100,72,82,99
21,Michael Harris II,ATL,149,98,35,3,24,82,85,35,115
22,Francisco Lindor,NYM,150,92,28,2,27,87,89,63,130
23,Marcus Semien,TEX,150,100,33,3,28,102,80,62,114
24,Bo Bichette,TOR,149,117,36,2,25,93,89,38,130
25,Shohei Ohtani,LAD,150,81,28,5,39,108,111,91,168
26,Mike Trout,LAA,146,78,27,2,36,94,99,75,182
27,Vladimir Guerrero ,TOR,150,98,31,1,36,96,107,70,99
28,Jose Altuve,HOU,147,103,33,2,26,104,79,68,111
29,Bryce Harper,PHI,146,87,35,1,29,94,97,91,140
30,Will Smith,LAD,121,69,23,2,22,70,77,57,91
31,Austin Riley,ATL,150,93,31,2,35,96,109,57,160
32,Xander Bogaerts,SDP,149,109,32,2,20,85,79,60,120
33,Ozzie Albies,ATL,150,101,34,4,29,99,94,47,112
34,Brandon Nimmo,NYM,146,100,29,5,20,97,68,77,137
35,Manny Machado,SDP,150,96,29,1,32,86,99,60,126
36,Royce Lewis,MIN,138,87,29,2,29,87,84,53,140
37,Gleyber Torres,NYY,149,98,28,2,25,84,87,61,111
38,Trea Turner,PHI,150,111,35,4,22,94,83,46,134
39,Ketel Marte,ARI,150,100,36,6,21,95,82,67,117
40,Andres Gimenez,CLE,150,102,31,4,19,82,76,39,122
41,J.P. Crawford,SEA,149,101,33,1,14,86,60,81,116
42,Cal Raleigh,SEA,131,59,24,1,28,68,78,49,144
43,Jung Hoo Lee,SFG,134,112,34,4,12,84,58,51,57
44,Nolan Arenado,STL,150,94,31,2,28,83,99,49,100
45,Luis Robert ,CHW,149,94,33,1,33,85,97,38,167
46,Carlos Correa,MIN,138,85,29,2,20,75,74,63,125
47,Isaac Paredes,TBR,133,68,24,1,26,73,78,63,96
48,Nico Hoerner,CHC,150,123,30,4,12,85,67,48,81
49,Francisco Alvarez,NYM,118,53,17,1,25,59,67,46,118
50,Matt McLain,CIN,138,82,29,3,24,87,77,62,162
51,Jonah Heim,TEX,123,68,24,1,17,56,61,40,97
52,Sean Murphy,ATL,99,50,20,1,17,53,55,41,91
53,Pete Alonso,NYM,150,74,24,2,41,92,110,66,142
54,Luis Arraez,MIA,143,141,33,3,9,85,61,50,46
55,Paul Goldschmidt,STL,150,97,31,1,28,98,88,81,154
56,Willy Adames,MIL,149,76,30,2,26,80,83,66,165
57,Gabriel Moreno,ARI,121,89,26,2,11,58,59,40,89
58,Oneil Cruz,PIT,128,76,24,4,25,84,68,56,151
59,Alejandro Kirk,TOR,85,56,16,0,10,41,42,37,39
60,Ha-Seong Kim,SDP,143,92,27,1,17,80,61,65,122
61,Triston Casas,BOS,143,76,27,3,29,85,89,89,139
