#,Player,Team,W,L,ERA,G,GS,SV,HLD,IP,H,ER,BB,SO
1,Spencer Strider,ATL,15,7,3.18,31,31,0,0,184.2,138,65,62,258
2,Zack Wheeler,PHI,13,10,3.55,32,32,0,0,197.1,179,78,47,199
3,Kevin Gausman,TOR,13,10,3.47,32,32,0,0,193.1,167,75,52,222
4,Aaron Nola,PHI,12,10,3.81,32,32,0,0,195,183,83,44,201
5,Pablo López,MIN,13,10,3.5,32,32,0,0,193.1,171,75,53,215
6,Logan Webb,SFG,13,10,3.5,32,32,0,0,201.1,201,78,44,181
7,Framber Valdez,HOU,14,8,3.39,31,31,0,0,195.1,179,74,63,198
8,Tarik Skubal,DET,11,9,3.32,29,29,0,0,171.1,148,63,46,198
9,Tyler Glasnow,LAD,11,7,3.48,26,26,0,0,154,128,60,48,192
10,Zac Gallen,ARI,13,10,3.81,32,32,0,0,196.1,185,83,54,203
11,Gerrit Cole,NYY,13,9,3.73,32,32,0,0,200,177,83,53,225
12,Max Fried,ATL,14,8,3.59,31,31,0,0,184.2,181,74,46,176
13,George Kirby,SEA,12,10,3.63,32,32,0,0,191.1,182,77,33,183
14,Zach Eflin,TBR,12,10,3.64,31,31,0,0,184,176,74,35,177
15,Luis Castillo,SEA,12,10,3.64,32,32,0,0,195,175,79,59,205
16,Yoshinobu Yamamoto,LAD,12,9,3.98,29,29,0,0,183.2,170,81,50,200
17,Justin Steele,CHC,11,10,3.7,31,31,0,0,181,171,74,55,174
18,Freddy Peralta,MIL,11,9,3.68,29,29,0,0,168,140,69,58,200
19,Jesús Luzardo,MIA,11,10,3.76,31,31,0,0,180.2,160,76,63,205
20,Blake Snell,,12,10,3.66,31,31,0,0,176.1,144,72,82,221
21,Jordan Montgomery,,12,11,3.94,32,32,0,0,190.2,188,84,52,173
22,Corbin Burnes,BAL,13,10,3.76,32,32,0,0,197.1,181,82,61,208
23,Sonny Gray,STL,12,10,3.83,31,31,0,0,180,170,77,59,172
24,Carlos Rodón,NYY,11,8,3.78,29,29,0,0,163.1,138,69,52,194
25,Eduardo Rodriguez,ARI,11,10,3.98,31,31,0,0,177,172,78,58,169
26,Shane Bieber,CLE,11,11,3.93,31,31,0,0,192.2,189,84,51,182
27,Kodai Senga,NYM,11,9,3.74,28,28,0,0,163.2,140,68,69,189
28,Grayson Rodriguez,BAL,12,9,3.65,31,31,0,0,175,153,71,60,191
29,Joe Musgrove,SDP,11,10,3.84,29,29,0,0,177,166,76,46,175
30,Chris Sale,ATL,11,7,3.76,26,26,0,0,141,124,59,41,162
31,Logan Gilbert,SEA,12,11,3.88,32,32,0,0,187,176,81,44,185
32,Mitch Keller,PIT,11,11,4.19,32,32,0,0,190,184,88,67,177
33,Dylan Cease,CHW,10,11,4.09,31,31,0,0,178.1,156,81,76,201
34,Hunter Greene,CIN,10,9,4.23,28,28,0,0,159,136,75,63,196
35,Joe Ryan,MIN,11,10,4.03,31,31,0,0,178.2,161,80,48,197
36,Shota Imanaga,CHC,9,9,3.84,26,26,0,0,147.2,139,63,40,150
37,Yu Darvish,SDP,10,10,4.15,29,29,0,0,175,164,81,47,177
38,Cole Ragans,KCR,11,10,3.95,29,29,0,0,177.1,161,78,75,185
39,Braxton Garrett,MIA,10,10,3.98,29,29,0,0,164.1,163,73,46,152
40,Reid Detmers,LAA,11,11,4.24,31,31,0,0,177,161,83,69,189
41,Merrill Kelly,ARI,11,11,4.17,31,31,0,0,185.1,181,86,66,176
42,Bobby Miller,LAD,10,8,4.02,26,26,0,0,150.2,144,67,46,150
43,Hunter Brown,HOU,11,8,3.76,34,26,0,1,151.1,138,63,56,160
44,Brayan Bello,BOS,10,10,4.3,29,29,0,0,169.1,177,81,57,146
45,Chris Bassitt,TOR,12,11,4.22,32,32,0,0,194,190,91,59,172
46,Justin Verlander,HOU,11,9,4.22,28,28,0,0,165.1,159,77,43,156
47,Nick Lodolo,CIN,8,7,3.75,33,19,0,1,122,106,51,42,144
48,Lucas Giolito,BOS,10,11,4.61,31,31,0,0,180.2,176,93,68,184
49,Ranger Suárez,PHI,10,9,4.04,28,28,0,0,155,153,69,58,135
50,DL Hall,MIL,8,7,3.63,42,18,0,1,125,103,51,57,151
51,José Berríos,TOR,11,10,4.12,31,31,0,0,179.1,174,82,50,168
52,Nathan Eovaldi,TEX,11,10,4.23,29,29,0,0,174.1,175,82,49,158
53,Lance Lynn,STL,11,10,4.33,31,31,0,0,176,172,85,55,161
54,Patrick Sandoval,LAA,10,10,4.17,29,29,0,0,165.2,159,77,72,152
55,MacKenzie Gore,WSN,9,10,4.19,28,28,0,0,151.2,139,71,65,159
