Player,Team,Positions,R,HR,RBI,SB,OBP,H,1B,2B,3B,BB,SO
Ronald Acuna,ATL,RF,129,38,101,53,0.397,184,110,34,2,80,107
Bobby Witt ,KC,SS,99,29,90,41,0.324,169,100,33,7,41,121
Julio Rodriguez,SEA,CF,101,32,94,33,0.336,169,101,33,3,51,157
Mookie Betts,LAD,"2B,RF",114,33,97,13,0.373,163,91,37,2,82,107
Corbin Carroll,ARI,"LF,CF,RF",102,23,81,42,0.347,158,96,30,9,62,134
Kyle Tucker,HOU,RF,97,31,104,25,0.362,161,92,34,4,71,96
Freddie Freeman,LAD,1B,109,26,95,14,0.383,179,110,41,2,75,110
Aaron Judge,NYY,"RF,DH",106,46,112,7,0.39,144,75,23,0,100,171
Fernando Tatis ,SD,RF,102,35,99,28,0.345,160,89,34,2,63,146
Juan Soto,NYY,LF,109,37,102,11,0.422,148,82,27,2,131,112
Shohei Ohtani,LAD,"DH,SP",101,39,107,19,0.377,146,74,28,5,84,151
Trea Turner,PHI,SS,97,23,84,28,0.331,173,112,34,4,45,133
Jose Ramirez,CLE,"3B,DH",93,27,95,25,0.357,162,94,37,4,70,76
Matt Olson,ATL,1B,102,41,114,1,0.365,151,80,29,1,88,148
Yordan Alvarez,HOU,"LF,DH",97,38,109,1,0.39,151,80,31,2,77,117
Bryce Harper,PHI,"1B,DH",95,29,92,13,0.387,150,85,34,2,89,135
Austin Riley,ATL,3B,99,37,106,2,0.343,166,95,32,2,57,159
Rafael Devers,BOS,3B,95,35,102,4,0.349,163,91,36,1,60,124
Corey Seager,TEX,SS,88,30,90,2,0.365,152,88,33,1,56,95
Ozzie Albies,ATL,2B,94,27,94,14,0.326,161,97,33,4,45,108
Pete Alonso,NYM,1B,89,40,110,4,0.327,141,76,24,1,66,139
Marcus Semien,TEX,2B,100,27,86,15,0.331,161,97,34,3,61,111
Francisco Lindor,NYM,SS,92,27,89,21,0.325,147,90,28,2,62,126
Luis Robert ,CWS,CF,86,31,90,19,0.311,152,87,33,1,34,159
Vladimir Guerrero ,TOR,"1B,DH",92,33,101,6,0.358,166,100,32,1,67,99
Michael Harris II,ATL,CF,87,22,81,24,0.327,161,101,35,3,35,121
