Player,Team,Positions,IP,K,W,SV,ERA,ER,H,BB,HR,G,GS,L,CG
Spencer Strider,ATL,SP,179.2,255,15,0,3.28,65,134,58,21,30,30,6,0
Gerrit Cole,NYY,SP,196,219,13,0,3.58,78,167,51,27,32,31,8,2
Corbin Burnes,BAL,SP,188.5,201,12,0,3.57,75,160,58,21,31,31,8,0
Zack Wheeler,PHI,SP,189.7,195,13,0,3.51,74,169,47,21,31,31,8,1
Kevin Gausman,TOR,SP,185.5,214,13,0,3.48,72,165,48,23,31,31,8,0
Luis Castillo,SEA,SP,188.9,202,13,0,3.56,75,163,57,23,31,31,9,0
Pablo Lopez,MIN,SP,185.5,205,12,0,3.58,74,163,50,21,31,31,9,1
George Kirby,SEA,SP,184.8,173,12,0,3.58,74,175,30,22,31,31,9,1
Zac Gallen,ARI,SP,188.6,191,13,0,3.68,77,170,52,23,31,31,9,1
Tyler Glasnow,LAD,SP,141.7,180,11,0,3.5,55,115,44,18,25,25,6,0
Yoshinobu Yamamoto,LAD,SP,171.5,175,13,0,3.74,71,149,43,23,28,28,7,3
Tarik Skubal,DET,SP,152.9,175,10,0,3.41,58,130,41,16,28,28,8,0
Logan Webb,SF,SP,193.9,172,13,0,3.42,74,187,42,16,31,31,9,1
Aaron Nola,PHI,SP,188.4,198,12,0,3.83,80,172,41,26,31,31,9,1
Devin Williams,MIL,RP,62.3,89,4,31,3.01,21,43,29,6,63,0,3,0
Framber Valdez,HOU,SP,189.5,188,14,0,3.42,72,168,62,17,30,30,8,2
Freddy Peralta,MIL,SP,163.2,195,11,0,3.7,67,132,57,22,29,29,9,0
Max Fried,ATL,SP,168,160,14,0,3.38,63,156,42,16,29,29,6,1
Josh Hader,HOU,RP,60,87,3,32,3.14,21,42,26,7,62,0,2,0
Edwin Diaz,NYM,RP,61.3,94,3,34,2.83,19,42,21,6,61,0,2,0
Logan Gilbert,SEA,SP,185.3,181,12,0,3.82,79,171,45,26,31,31,9,0
Blake Snell,,SP,165.8,210,12,0,3.62,67,131,80,18,30,30,8,0
Emmanuel Clase,CLE,RP,66.9,67,4,34,3.02,22,58,16,5,67,0,3,0
Zach Eflin,TB,SP,167.7,162,12,0,3.59,67,157,30,20,30,29,8,0
Jhoan Duran,MIN,RP,64.8,86,4,30,2.84,20,50,23,5,64,0,3,0
Grayson Rodriguez,BAL,SP,160.6,173,10,0,3.77,67,141,54,19,30,29,8,0
Bobby Miller,LAD,SP,148.7,146,11,0,3.86,64,134,43,18,27,27,7,0
Eury Perez,MIA,SP,130.7,149,8,0,3.9,57,111,44,19,25,25,8,0
Jesus Luzardo,MIA,SP,167.9,192,10,0,3.82,71,148,57,22,30,29,9,0
Camilo Doval,SF,RP,65.8,80,4,34,3.36,25,53,28,5,66,0,3,0
Joe Ryan,MIN,SP,167.5,185,11,0,3.99,74,148,44,26,30,30,9,0
Kodai Senga,NYM,SP,156.3,182,11,0,3.74,65,129,69,18,27,27,8,1
Raisel Iglesias,ATL,RP,63,75,4,31,3.37,24,54,16,8,62,0,3,0
Jordan Romano,TOR,RP,62.5,74,4,32,3.53,24,52,23,8,62,0,3,0
David Bednar,PIT,RP,64.7,77,3,31,3.37,24,54,21,7,64,0,3,0
Joe Musgrove,SD,SP,161.6,158,11,0,3.64,65,147,41,20,28,27,7,0
Justin Steele,CHC,SP,172,165,11,0,3.69,70,163,52,18,30,30,9,0
Alexis Diaz,CIN,RP,67.2,82,4,31,3.93,29,52,33,8,67,0,4,0
Tanner Bibee,CLE,SP,162.8,160,10,0,3.94,71,149,50,22,29,28,9,0
Andres Munoz,SEA,RP,59.3,81,4,26,3,20,44,23,5,60,0,3,0
Sonny Gray,STL,SP,166.5,156,11,0,3.67,68,151,54,17,29,29,8,0
Cole Ragans,KC,"SP,RP",161.2,170,10,0,3.94,71,143,67,18,28,28,9,0
Paul Sewald,ARI,RP,63.5,76,3,29,3.75,26,53,23,9,64,0,3,0
Dylan Cease,CWS,SP,173.1,201,10,0,4.03,78,151,75,22,31,31,10,0
Justin Verlander,HOU,SP,158.9,143,11,0,4.01,71,148,45,23,27,27,8,0
Pete Fairbanks,TB,RP,56.7,79,4,29,2.99,19,41,22,5,58,0,2,0
Ryan Helsley,STL,RP,61.6,80,4,27,3.22,22,45,26,7,61,0,3,0
Evan Phillips,LAD,RP,63.6,72,4,29,3.43,24,53,20,8,62,0,3,0
Walker Buehler,LAD,SP,126.7,118,9,0,3.98,56,119,35,17,22,22,6,1
Chris Bassitt,TOR,SP,187,167,12,0,4.05,84,176,55,26,31,31,10,1
Clay Holmes,NYY,RP,64.8,69,4,31,3.43,25,56,25,5,64,0,3,0
Tanner Scott,MIA,RP,67.7,90,4,26,3.23,24,53,29,5,69,0,3,0
Jordan Montgomery,,SP,178.5,164,11,0,3.89,77,173,50,22,31,30,9,0
Hunter Greene,CIN,SP,150.3,189,9,0,4.26,71,129,58,25,28,28,9,0
Merrill Kelly,ARI,SP,179.3,168,11,0,4.05,81,169,61,23,30,30,10,0
