Player,Team,Bats,ESPN,YAHOO,G,R,HR,RBI,SB,1B,2B,3B,TB,SO,BB,OBP
Mookie Betts,LAD,R,2B/OF,2B/SS/ OF,150,115.8,32.3,90.7,14.3,86.2,41.7,1.6,303.2,106.4,80,0.372
Ronald Acuna,ATL,R,OF,OF,150,129.1,37.1,102.1,48.9,113.1,32.4,2.7,334.3,102.5,78,0.406
Corbin Carroll,ARI,L,OF,OF,152,97.6,25,82.4,40.6,100.2,25.5,8.4,276.5,134.4,63.5,0.351
Marcus Semien,TEX,R,2B,2B,150,98.9,25.5,77.9,15.2,96.9,29.6,3.1,267.3,107.5,58.1,0.33
Freddie Freeman,LAD,L,1B,1B,150,105.1,25.9,90.4,13.1,100.2,43.1,1.5,294.4,108.9,74.6,0.386
Christian Yelich,MIL,L,OF,OF,150,93.3,20.1,67.5,21.7,94.2,30.1,1.9,240.3,148.1,84.7,0.362
Kyle Schwarber,PHI,L,OF,OF,150,103.9,39,87.1,5.4,59.7,20.1,1.4,260.2,190.2,99.9,0.347
Gunnar Henderson,BAL,L,SS/3B,SS/3B,152,95.9,27.5,84.1,11.8,83.3,31.9,5.9,274.8,155.4,66.2,0.337
Juan Soto,NYY,L,OF,OF,151,109.9,37.3,103.3,11.4,79.7,29.2,1.4,291.6,105.2,126.6,0.427
Austin Riley,ATL,R,3B,3B,151,96.8,34.9,110.8,2.5,93.9,29.6,2.1,299.3,154,56.5,0.351
Trea Turner,PHI,R,SS,SS,150,88.6,21.4,78.9,23.9,106.3,33.1,3.7,269.3,129.4,44.4,0.331
Alex Bregman,HOU,R,3B,3B,150,95.3,24,85.2,3,88.6,31.3,2.3,253.7,82.6,81.7,0.365
Paul Goldschmidt,STL,R,1B,1B,150,92.9,26.3,83.2,7.8,92,29.4,0.6,258,147.5,78.3,0.358
Luis Arraez,MIA,L,2B,1B/2B,151,86,9.1,62.4,5.4,142.8,26.9,3.3,243,45.6,49.4,0.365
Julio Rodriguez,SEA,R,OF,OF,151,98.8,32.4,90.4,30,90.5,37.1,2.5,302.1,149.1,49.3,0.342
CJ Abrams,WSH,L,SS,SS,152,82.5,18,67.4,37,97.2,34.7,4.9,252.9,116.2,33.4,0.31
Bobby Witt ,KC,R,SS,SS,151,94.7,29,87.8,39.8,97.6,28.4,7.1,291.8,112.2,40.3,0.324
Matt Olson,ATL,L,1B,1B,150,104.3,38.8,109.5,1.2,77,29.2,1.6,295.6,143.2,86.6,0.372
Rafael Devers,BOS,L,3B,3B,150,99.8,34.5,98.9,4.7,89,36,1,301.8,124.4,59.4,0.354
Fernando Tatis ,SD,R,OF,OF,148,99.8,33.9,89.3,25.4,85.8,36.6,1.2,298.4,137.3,61.8,0.349
Ketel Marte,ARI,S,2B,2B,150,89.8,20.3,75.8,6.9,100,28.5,6.1,256.5,109.2,64.3,0.351
Nico Hoerner,CHC,R,2B/SS,2B/SS,148,81.1,11.2,60.8,29.8,120.5,26.9,4.1,231.3,77.1,46.2,0.342
Brandon Nimmo,NYM,L,OF,OF,147,96,18.3,66.1,5.6,94.3,29.3,4.8,240.4,130.8,72.3,0.36
Lane Thomas,WSH,R,OF,OF,151,82.1,23.2,72.6,14.7,82.6,33.9,2.4,250.4,161.7,47.2,0.308
Kyle Tucker,HOU,L,OF,OF,151,97,33.2,104.1,25.5,95.6,27.5,3.3,293.2,96.1,70.8,0.366
Bo Bichette,TOR,R,SS,SS,148,90.3,24.5,85.6,11.2,106.6,37.7,2.3,287.2,124,35.7,0.332
Vladimir Guerrero ,TOR,R,1B,1B,151,92.7,31.8,98.9,6.3,90.7,33.3,0.6,286.3,95.4,66,0.361
Randy Arozarena,TB,R,OF,OF,151,82.9,22.3,80.4,23.4,87.9,29.9,2.7,245.2,159,64,0.345
Ha-Seong Kim,SD,R,2B/SS/ 3B,2B/SS/ 3B,151,78.4,16.1,63.4,26.4,89,30.1,1.2,217.1,122.2,65.5,0.328
Jose Ramirez,CLE,S,3B,3B,150,92.6,27.3,86.9,22.6,87.3,38.3,3.8,284.6,77.5,69.7,0.367
Xander Bogaerts,SD,R,SS,SS,150,78.8,18.4,77.1,10.8,99.9,33.6,1.3,244.7,113.5,57.8,0.347
Bryan Reynolds,PIT,S,OF,OF,148,87.7,24,77.4,8.6,91.3,29.9,3.9,258.9,135.4,59.2,0.346
J.P. Crawford,SEA,L,SS,SS,150,84.7,12.6,59.1,3.8,85.6,37.1,0.9,213,109.9,75.8,0.349
Spencer Torkelson,DET,R,1B,1B,151,81.4,28.9,85.3,2.6,74.7,26.8,1.3,247.7,145.4,67.7,0.329
Shohei Ohtani,LAD,L,DH,DH,145,99.4,37.2,106.3,18.5,72.3,29.6,5,295.5,155.6,85.6,0.376
Steven Kwan,CLE,L,OF,OF,147,83.7,8.7,56,17.7,106.4,34,5.2,224.9,66.6,62.2,0.355
Jose Altuve,HOU,R,2B,2B,140,98.6,24.3,75.5,14.8,91.3,30.7,1.6,254.6,101.5,62.6,0.349
Christian Walker,ARI,R,1B,1B,150,79.1,28,92.1,5.5,83.5,25.7,1.9,252.6,127.5,60.9,0.334
Ezequiel Tovar,COL,R,SS,SS,150,76.7,18.2,69.8,13.4,100.8,29.9,3.4,243.6,147.1,31.5,0.305
Andres Gimenez,CLE,L,2B,2B,150,75.9,18.8,73.5,25.7,93.1,33.6,3.8,246.8,114.7,37.2,0.329
Ian Happ,CHC,S,OF,OF,151,75.6,19.6,73.8,10.2,84,27.1,2.4,223.9,146.5,75.1,0.347
Adolis Garcia,TEX,R,OF,OF,148,77.7,29,91.4,12.8,77.8,25.6,1.6,249.5,176.6,48.4,0.305
Manny Machado,SD,R,3B,3B,148,81.6,29.1,91.9,5.6,87.6,30.4,0.8,267.1,118,57,0.337
Francisco Lindor,NYM,S,SS,SS,150,81.1,24.4,81.4,19.1,85,26.7,2.2,242.5,121,57.7,0.332
Gleyber Torres,NYY,R,2B,2B,148,81.9,24.1,83.1,13.4,97.1,25.7,1.7,249.9,107.2,58.5,0.342
Pete Alonso,NYM,R,1B,1B,150,87.6,38.7,103.7,3.7,71.3,21.8,1.6,274.2,135.5,62.1,0.338
Ozzie Albies,ATL,S,2B,2B,145,91.7,26,89,11.9,93.1,33,3.6,273.8,100.8,43.6,0.334
Aaron Judge,NYY,R,OF,OF,141,103.8,42.8,100.9,7.5,74.7,20.1,0.6,287.8,163.9,94.2,0.387
Willy Adames,MIL,R,SS,SS,148,74.7,24.9,78.8,6.8,73.2,28.6,1.5,234.3,155.8,62.7,0.318
Alec Bohm,PHI,R,1B/3B,1B/3B,150,74.2,19,79.4,4.3,104.3,29.8,1.2,243.4,108.7,43.2,0.332
Nolan Jones,COL,L,OF,1B/OF,147,81.1,24,80.6,15.8,87.9,24.3,3.7,243.7,175,69.6,0.354
Nick Castellanos,PHI,R,OF,OF,148,73.4,22.7,82.6,6.6,89.6,32.4,1.5,249.5,151.6,36.8,0.311
Andrew Vaughn,CHW,R,1B,1B,151,75.1,24.5,82.2,1,83.2,34.7,1.5,255,121.9,41.2,0.321
Oneil Cruz,PIT,L,SS,SS,141,83.1,26,76.5,21.1,77,26.7,4.1,246.7,156.3,58.1,0.326
Andrew Benintendi,CHW,L,OF,OF,145,72.4,11.1,56.5,10.8,98.2,30.7,2,210.1,97.1,53.1,0.332
Thairo Estrada,SF,R,2B/SS,2B/SS,143,69.8,16.4,63.3,21.7,100.7,21.9,2.3,216.9,117.2,34.7,0.312
Matt McLain,CIN,R,2B/SS,2B/SS,141,83.2,23.7,77,17.3,71.8,35.9,3.4,248.4,156.7,59.9,0.34
Michael Harris II,ATL,L,OF,OF,150,84.3,22.8,87.9,22.2,96.7,37.6,2.9,271.5,113.5,34.9,0.338
Yordan Alvarez,HOU,L,OF,OF,141,99.4,38.9,110.9,1.3,84.8,25.7,2,297.9,118.6,77.9,0.401
