Player,Team,POS,R/L,G,GS,IP,W,L,SV,HLD,ERA,SO,BB,H,ER,LD%
Gerrit Cole,NYY,SP,R,30.8,30.8,187.9,13.9,7.3,0,0,3.8,211.6,50.3,163.5,78,19.7
Framber Valdez,HOU,SP,L,30.8,30.8,187.9,14.3,6.6,0,0,3.41,194.3,60.5,167.9,71.1,20
Zack Wheeler,PHI,SP,R,30.8,30.8,184.8,12.7,7.9,0,0,3.56,186.3,43.6,168.9,72,19.9
Chris Bassitt,TOR,SP,R,30.8,30.8,184.8,12.5,8.8,0,0,4.24,166.1,56.6,179.9,87.1,20.5
Luis Castillo,SEA,SP,R,30.8,30.8,184.8,12.6,8.3,0,0,3.71,198.5,56.1,165.6,78.7,19.9
Aaron Nola,PHI,SP,R,30.8,30.8,184.8,12.5,8.3,0,0,3.82,190.3,41.2,171.2,77,20.3
Zac Gallen,ARI,SP,R,30.8,30.8,184.8,12.5,8.3,0,0,3.83,190.1,51.2,172.1,78.2,20.1
Logan Gilbert,SEA,SP,R,30.8,30.8,184.8,12.4,8.7,0,0,3.94,186.9,43.7,172.1,83.6,20
George Kirby,SEA,SP,R,30.8,30.8,184.8,12.6,8.3,0,0,3.69,181,31.7,176.8,78.2,20
Logan Webb,SF,SP,R,29.8,29.8,181.8,12.2,8.2,0,0,3.51,163.3,40.4,179,72.2,20.4
Jose Berrios,TOR,SP,R,30.8,30.8,181.7,12.2,8.6,0,0,4.15,172.4,50.3,177,83.7,20.2
Merrill Kelly,ARI,SP,R,30.8,30.8,181.7,12,8.8,0,0,4.18,171.9,64.6,173.1,83.8,20.4
Jordan Montgomery,FA,SP,L,30.8,30.8,181.7,11.9,8.6,0,0,3.95,165,49.4,178.2,79.7,20.3
Miles Mikolas,STL,SP,R,30.8,30.8,178.6,12,8.8,0,0,4.47,128.9,39.6,194.5,91.5,20.6
Kevin Gausman,TOR,SP,R,29.8,29.8,175.8,12.2,7.3,0,0,3.49,204.4,46.9,154.3,68.1,19.9
Pablo Lopez,MIN,SP,R,29.2,29.2,175.2,11.9,7.6,0,0,3.4,193.8,47.6,155.6,68.4,19.9
Mitch Keller,PIT,SP,R,29.2,29.2,175.2,11.2,8.9,0,0,4.11,162.4,61.6,167.9,80.6,20
Corbin Burnes,BAL,SP,R,29.2,29.2,175.2,11.8,7.8,0,0,3.69,183.7,54.8,151.1,72,19.8
Kyle Gibson,STL,SP,R,29.8,29.8,172.8,11.7,8.2,0,0,4.24,137.8,55.7,182,84.1,20.6
Justin Steele,CHC,SP,L,29.2,29.2,169.4,10.8,8.1,0,0,3.72,161.8,52.2,162.7,69.4,20.4
Spencer Strider,ATL,SP,R,29.2,29.2,169.4,13.5,5,0,0,3.23,232.6,56.1,125.1,59.7,19.2
Max Fried,ATL,SP,L,28.5,28.5,168.2,13.3,5.5,0,0,3.6,158.3,41.8,164.6,66.2,20.2
Justin Verlander,HOU,SP,R,28.5,28.5,168.2,12.2,7.1,0,0,4.22,162.2,44.2,159.7,78.9,20.3
Kyle Hendricks,CHC,SP,R,29.2,29.2,166.4,9.8,9.6,0,0,4.76,115.9,42.7,185.8,87.2,21.2
Zach Eflin,TB,SP,R,29.2,29.2,166.4,11,7.5,0,0,3.68,160.3,32.2,161.6,69.2,20.5
Lance Lynn,STL,SP,R,29.2,29.2,166.4,11.1,8,0,0,4.25,153.6,52,160.2,81.1,20.3
Tanner Bibee,CLE,SP,R,29.2,29.2,166.4,10.1,8.9,0,0,4.25,163.6,51.8,157.9,78.1,20.1
Dylan Cease,CHW,SP,R,30.8,30.8,166.3,8.9,9.6,0,0,4.06,188.7,70.5,149.1,74.6,19.7
Sonny Gray,STL,SP,R,28.5,28.5,165.3,11.5,7.1,0,0,3.75,159.3,54.3,153.2,71.1,20.3
Yoshinobu Yamamoto,LAD,SP,R,28.5,28.5,165.3,12,6.6,0,0,3.85,180.2,44.5,150.1,71.1,19.8
Cole Ragans,KC,SP,L,27.5,27.5,165,10.6,8,0,0,3.87,172.4,69,142.2,69.9,19.6
Taijuan Walker,PHI,SP,R,29.2,29.2,163.5,10,9,0,0,4.77,126.7,58.8,170.2,85.2,20.5
Blake Snell,FA,SP,L,29.2,29.2,163.5,10.5,7.6,0,0,3.67,204.7,75.5,126.5,66.7,19.5
Lucas Giolito,BOS,SP,R,29.2,29.2,163.5,10.1,8.6,0,0,4.65,165.7,61.1,152.4,79.3,20.2
Joe Ryan,MIN,SP,R,29.2,29.2,163.5,10.3,8.1,0,0,3.94,179.6,43,146,73.9,20.2
Brayan Bello,BOS,SP,R,29.2,29.2,163.5,10.3,8.1,0,0,4.32,140.2,54.6,166.9,73.5,20
Eduardo Rodriguez,ARI,SP,L,27.5,27.5,162.3,10.8,7.6,0,0,3.98,154.1,53.3,154.7,71.3,20.3
Shane Bieber,CLE,SP,R,27.5,27.5,162.3,10.3,8.1,0,0,3.97,154.9,42.9,160.3,71.1,20.5
Freddy Peralta,MIL,SP,R,29.2,29.2,160.6,10,7.7,0,0,3.7,192,55.8,134.3,65.4,19.8
Marcus Stroman,NYY,SP,R,29.8,29.8,157.9,10.6,7,0,0,4.14,134.5,50.5,160.7,71.2,20.5
Dean Kremer,BAL,SP,R,29.2,29.2,157.7,9.4,8.6,0,0,4.46,134.9,50.9,158.7,78.4,20.3
